n,u,y
0,0.819881836191657,0.0025266057161380875
1,1.0839112621557458,0.21697522118867268
2,0.41632428874160965,0.213629709785326
3,0.24348948031686488,0.6516390030941634
4,0.05767194544765689,0.5566802510089726
5,1.2790819649857612,0.5780575829091193
6,0.5961024085568118,0.5924702340649098
7,1.2230338928391504,0.8058338806332953
8,1.1037159489488881,0.708692591091179
9,1.4702158967435448,1.164053591253126
10,1.2482370039429955,1.0112877511446852
11,1.2655084141920119,1.5390973776957182
12,1.3314165699910894,1.5858925009910265
13,1.188738530743744,1.7227181724159344
14,1.3495244855082358,1.7932393079926445
15,1.329140835522202,1.5043509027894628
16,1.7716721169988383,1.9160831282225914
17,2.4470177726215914,1.7807435527477233
18,2.033973654125026,2.1594798727045874
19,1.6313911378432027,2.31414957725883
20,1.6005207084943596,2.362450335921539
21,0.4974185044125711,2.205174895677545
22,0.5832736691401017,2.271794997519317
23,0.22282434851094737,1.7427154463314494
24,-0.23908427511947386,1.4857824626440077
25,-1.025242937391747,0.8881510573730513
26,-0.9884048382817792,0.3171890896107911
27,-0.5746576852723094,0.18614444108134434
28,-0.763535542411046,-0.1498441840488464
29,-1.1227301398982237,-0.5487710026985535
30,-1.2472258034239916,-0.8095835399531052
31,-1.1389650420379342,-1.4248758465915015
32,-1.5715114364983196,-1.3286165745275043
33,-1.613890043274763,-1.5489544046651258
34,-1.9317574727799267,-1.6152600360731486
35,-1.70765983400138,-1.8120154670623356
36,-0.543136764900361,-1.8474203424558453
37,-0.37553408028885377,-1.6984497611316367
38,0.7178858032447705,-1.4859442863548336
39,0.2493017543111476,-1.0071173815912269
40,-0.3796212252700198,-0.7061900228159783
41,-0.4705261276845938,-0.4795978673067404
42,-0.35559868942618994,-0.37910230535155665
43,-0.10746137467758887,-0.34026183011060973
44,0.1099301429792393,-0.3176350143827667
45,-0.07110302732227199,-0.41673042552709894
46,0.40079777058440547,-0.3718606236126915
47,0.29420139375739474,-0.07270710289189478
48,0.6145942816703786,0.19207832022893148
49,0.7560020738419705,0.292068073203073
50,0.7736637867518766,0.5207878067098813
51,0.7727372770384875,0.46267913404486327
52,0.2804995769019335,0.6604271234810585
53,0.5201259252918697,0.8843088020427431
54,0.744571044013215,0.5433975826429774
55,0.38211175689928756,0.7612313199522553
56,1.6488508982943424,0.6877662968360101
57,1.4874902118465199,1.0700968799974069
58,0.595791899651981,0.9604125905762754
59,-0.3117052542718012,1.1279667701038736
60,-0.7072107425189389,1.1529826730260384
61,-1.7417842891576167,0.6665348084376872
62,-1.2694478017025312,0.11389018618717674
63,-1.632912060953951,-0.5381818645198018
64,-1.18616903645256,-0.9153972616049556
65,-1.7242803449198933,-1.3911606517847876
66,-1.3493162125543083,-1.5017762807387898
67,-0.5862843225739901,-1.45146044645753
68,-0.19355159222358437,-1.7965670640617297
69,-1.070709357873532,-1.459653548178556
70,-0.8781213466071436,-1.4723546670078336
71,-0.9410506930026565,-1.2267567203421859
72,-0.18738669494231386,-1.2620837388880621
73,0.058757607432234654,-0.9931313244894542
74,1.0354846797507868,-0.6507121249579281
75,0.9888619926325142,-0.28991336704788523
76,0.2966770251041697,0.11215408981497006
77,-0.198018806335293,0.3866769045592788
78,0.47478314802302896,0.3132217981490874
79,-0.08783672541707722,0.5411097384761829
80,0.026609152747945432,0.3092121109941208
81,1.1598800866629286,0.24281886309308712
82,1.0056357360539987,0.46099558496811466
83,0.416588321337223,0.5898476528860167
84,0.8284050336366563,0.7502881246788113
85,0.926545551261317,0.9850725360034913
86,0.19083298191774464,1.0742432137728182
87,0.5866632919553482,0.9173922050602383
88,0.6219378840768944,0.9287295590503652
89,0.9194866981932615,0.8257991397634077
90,0.4667765293419331,0.8627692032093595
91,1.0122183541515057,1.1526160049690297
92,0.6196850811916654,0.7958566573773702
93,1.1967972791195134,0.8530355364700658
94,0.46194954097900054,0.9516981301506674
95,0.5729172942300474,1.0314186511030736
96,0.6863980271128328,0.9172780413899803
97,-0.06627153180016596,0.7243372410301101
98,-1.0285765475013935,0.6845732728647207
99,-1.22012959158045,0.440836365907569
100,-1.4320378891610412,-0.12734153162407066
101,-1.5396642629698758,-0.5517396360809811
102,-1.3694273332277198,-0.8451501466881937
103,0.018330326891939423,-1.3389192718120544
104,0.13271574986722268,-1.3206454146735485
105,0.9767287744363848,-1.1048799122725872
106,1.0428683358606523,-0.5033848327986022
107,1.488488195429065,-0.09717765027252726
108,1.5886609243922716,0.4700078072173478
109,1.4098764440766678,0.937090798936629
110,1.4776319372741265,1.2566380477527719
111,2.417629005982907,1.4817462250470992
112,1.2280016093405464,1.7991877288678082
113,1.2000410374592003,2.1577666638316892
114,1.3731778458173054,2.0738499713924012
115,0.5596965016943183,1.9742346266012851
116,0.7827897778894929,1.5792463142175563
117,0.7865540833590586,1.7166676753050556
118,1.3385460366919435,1.3316586544458722
119,1.4871134923364981,1.3848031078743457
120,1.2780024995584287,1.5049092668795008
121,1.2560686698204633,1.6008012432462486
122,-0.040600543916114444,1.612880618664061
123,1.033594864787635,1.5294044349309421
124,1.0213741945405548,1.300703508164835
125,0.15751289572750904,1.0887084405635674
126,-0.3661844800412529,1.1200650838303732
127,-0.4191222304063012,0.7614766123372254
128,-0.6534812730211055,0.40011106621583636
129,-0.4621895932248182,0.21636306809490669
130,-0.7476108091692424,-0.15358203792257935
131,-0.36896278544461975,-0.5236691768276429
132,-0.5611144242187135,-0.6619490051407099
133,-0.5271330616682938,-0.5395410170621489
134,-1.1809782462080034,-0.5906627914443464
135,-1.409845746987365,-1.0045762794067916
136,-1.2845573768486493,-1.0255277527401057
137,-1.60249836737018,-1.3772856639975248
138,-1.514964248532336,-1.6003778272031632
139,-1.4818121401028712,-1.7906302531720417
140,-2.108778927700367,-1.7509194206087388
141,-1.2641756422431454,-1.8149231233792813
142,-1.8217767933079663,-2.1848535282444432
143,-0.7015817438595705,-2.02116761824135
144,-0.10400046134678234,-2.1172104003619765
145,0.1681784350936505,-1.5542174300637004
146,0.08868664714489319,-1.138116172762567
147,-0.40449784690884805,-0.6487456127745086
148,0.4753267449838211,-0.3427363895041866
149,1.42661583942601,-0.30123874584799826
150,0.825657608013467,0.0245813666673841
151,1.6239642267183916,0.6241386200750184
152,1.957012686917898,0.9550676623422172
153,2.112806002689597,1.4100944577695296
154,2.056829591705205,1.7151340751750623
155,1.6027718017920252,2.051783815814607
156,1.3168449484123437,2.3041640656364804
157,1.238193926187995,2.346706957275627
158,1.7445858911570553,2.1181805387475183
159,0.8198159760726665,2.103382575967254
160,0.8115270054910854,1.7418901506882685
161,0.12968598199449327,1.7527283451836826
162,0.1553448387049089,1.4307199740390582
163,-0.005842512728923866,1.3014175533556775
164,-0.3873125869145988,0.550370856200583
165,-0.010191670347599125,0.38486390908196155
166,0.346374231711551,0.22838939587628548
167,-0.3567020758471552,0.04740308425926834
168,-0.6834812535727983,-0.26872874931726515
169,-0.3354291396157328,-0.15566218870977852
170,-0.5485420664344691,-0.18131809129295184
171,-0.3107054124858263,-0.38278018515985035
172,-1.7129499422765515,-0.6273933333421938
173,-1.6650670777871523,-0.7112807187777136
174,-1.5917481292225983,-1.188487553473197
175,-1.2129803739120164,-1.4065716028982385
176,0.11394910963506621,-1.4616023428183678
177,-0.043623568002133704,-1.1703147126878266
178,-0.12767968806574306,-1.1570077501783793
179,0.6288865312394886,-0.9568731832966294
180,0.46569517373115554,-0.5615977489235774
181,1.247688572494679,-0.051463226139683835
182,1.450596292882078,0.09146942038612618
183,0.3044512470276778,0.7445987137718104
184,0.35500637975975774,0.8058575450462043
185,1.1254242729263564,0.8384883746266294
186,1.0714144398199152,1.1388542202483625
187,1.0643122513595396,1.1683753704391426
188,0.9959672246683945,1.1876954729715177
189,0.9213365098520565,1.2690271721324562
190,1.4349746662426281,1.204024528329129
191,1.5053689832930803,1.4744212537028654
192,1.4096481408657546,1.5242663176202118
193,2.4200876375516884,1.5388884014846027
194,1.2990233143978938,1.8796136083763417
195,0.7649580564881204,2.112195826633875
196,0.4912966053184133,1.9994652165492086
197,0.22374455726001197,1.7730565107360323
198,-0.7003360354118422,1.1428449844610602
199,0.7926553142260437,0.9972703887244355
200,0.6277379511677441,0.5824442379209482
201,0.8068462045510321,0.7527447776430196
202,0.677407829635767,0.47111852803739185
203,-0.04540424040409035,0.5875597590168297
204,1.1651430582748803,0.5344650947930161
205,0.9271448526343667,0.7297266102780702
206,0.8569645524009644,0.8612845221774809
207,0.7055615462404963,0.9679015018063178
208,0.7558466420378782,1.1203144438688004
209,1.3760460917178639,1.0737695891706276
210,1.1452503723085565,1.0483691001801265
211,-0.7816335163815331,1.091510607460265
212,-1.0104264368379616,1.0277594373831966
213,-1.4191607422068742,0.35831444360552395
214,-0.9148847622462146,-0.04026194111110893
215,-0.9917712599191377,-0.46990668689457954
216,-0.5906007083219452,-0.8143564759687965
217,-0.4105369232042846,-0.9837731789776882
218,-0.6246261882289521,-0.9833785643627213
219,-0.13990431983112794,-0.848182686406314
220,-0.2746193048268847,-0.947807428284045
221,-0.8547121181740782,-0.6456636386245953
222,-1.525561193559107,-0.8411709759911317
223,-1.824321828950206,-0.8285517923296877
224,-2.920239306759797,-1.1993877974594995
225,-2.519956554771234,-1.799133412698065
226,-2.040409242297156,-2.1697670463563083
227,-2.373939004348789,-2.847559212325693
228,-3.233659691959181,-2.856726149586278
229,-3.357710792308765,-2.9022749251664637
230,-2.3925115461081394,-3.2359929194641923
231,-2.1478787769191667,-3.421250390779753
232,-1.800116112935731,-3.4756783493915644
233,-1.4259505825861514,-3.1250013186547463
234,-1.236555470414342,-2.936961208520675
235,-1.1655184142758366,-2.6995983828671517
236,-0.680339173358685,-2.421215689362363
237,-0.28292609221035625,-1.7792594586846702
238,-0.645365410647788,-1.7026918478868618
239,-0.9384324841574956,-1.3111962287720393
240,-0.8655157101430443,-1.3636433241787322
241,-0.583349308558591,-1.0816479867644995
242,-0.21530198060368988,-1.0267219175614917
243,-0.2522410127136655,-0.746091369943884
244,-0.3153234570683372,-0.7499750230106912
245,-0.8855098065015578,-0.6798603924830058
246,-0.1453913840517177,-0.5482846973169785
247,-0.12472304877255806,-0.5201395604265975
248,0.2823539029229669,-0.6389001026425667
249,0.07682072614763356,-0.15992824191554328
250,-0.501557486271727,-0.21357848957935227
251,-0.7231710941768356,-0.3529083510645245
252,-0.9252817115226556,-0.3979594879487474
253,-0.5319461955216419,-0.38412140458745714
254,-0.6537751844733481,-0.3765322041194271
255,0.004819040575457162,-0.6550208413967156
256,0.28373647211150915,-0.6836580118499418
257,1.5482291362623848,-0.27653963628894535
258,0.4417629506742016,0.1399169718241198
259,1.1034517881369843,0.4418037679449437
260,0.6611788907957571,0.7177853180413163
261,0.5458636945285632,0.8670214633839891
262,0.619014400862932,0.8589433421318915
263,1.1115071138150134,1.0058688748712385
264,0.9924953815257971,0.9631683073264512
265,0.6238695891850481,1.235059372009172
266,1.422929074667063,0.9105332295612112
267,0.8614289952882265,1.205111726696457
268,1.2491790596185584,1.2077795554286384
269,0.9710380268444821,1.2469830892218918
270,1.4718232157223512,1.5212406973430272
271,1.2393229928295117,1.55824207084587
272,0.6299314864859582,1.5712317120506276
273,-0.046955560944933035,1.5090781531760518
274,-0.3935603823111839,1.1220229766075516
275,0.03971237265890744,0.9337630416225944
276,0.7751771766416741,0.6074657518134329
277,0.707430051825656,0.5342590104328208
278,0.7827116925680222,0.4431543359368422
279,-0.10078245225183018,0.6099483336840487
280,-0.1750507914462003,0.46332461993456436
281,0.4231260356991219,0.5312677050798849
282,0.9080916852052208,0.2987985970843886
283,0.12808049692871248,0.23834584823664481
284,-0.11819466707629797,0.5388117016597122
285,-0.3895279443312213,0.3951256408670488
286,-0.17495128654138473,0.3505066199405642
287,-0.5103979269198594,-0.060908511300217974
288,-0.4244497624214635,0.08051545577806583
289,0.3327701442955106,-0.3528432157701594
290,0.37309251315027997,-0.10377262543173883
291,0.1328437245540985,-0.14034251880320214
292,0.19490297680705948,-0.1358482398724681
293,-0.581941500060383,0.38493995074159787
294,-0.534004302509691,0.06110523132775511
295,-0.39503499050990076,-0.0991632346579211
296,0.5222990010225333,-0.08081112970096155
297,-0.06384159749008493,-0.3883250953937031
298,0.5030038586443685,-0.11888000717630862
299,0.7272933588171665,0.06250545386946724
300,1.555778883562225,0.4961867638240753
301,2.1296315215208534,0.685613769530624
302,2.0779138576256226,1.0647779147316736
303,1.6641778871815986,1.6848886386765205
304,2.258732930311439,1.733247748992024
305,2.8987888458571374,2.1122073309952323
306,2.3971766503881056,2.511466784664773
307,2.985113029222878,2.610571311128634
308,2.6532335464203882,3.1215606818480572
309,2.790144992604337,3.400670921066799
310,1.9030091541502254,3.328839011152315
311,1.976936179054615,3.350587413494773
312,1.757419163809636,3.066907589853668
313,1.5295382408104825,3.068638252691509
314,1.0070656119636476,2.613436540707516
315,0.625548714707601,2.300202877838766
316,0.8734933362719512,2.2988007562591743
317,0.6316156822114796,1.9820172156050015
318,-0.37372101787434964,1.4483851838996524
319,-0.8331670498437089,1.1655067395539491
320,0.016645278680287114,0.5476101885504855
321,0.06193701479601318,0.22480433005651723
322,-0.008634645447588307,0.0738019018992066
323,0.8452436730816496,-0.008705372991079208
324,-0.22144491909380945,0.1663182601502305
325,-0.7256133127465932,0.10500517179449086
326,-0.25154218708909076,-0.1610398848601483
327,0.39709133269481534,-0.1748429708189861
328,0.5187182372524867,-0.22512342712550842
329,-0.15635537198151886,-0.03798826684548739
330,0.3992036800109062,0.254954167743584
331,0.46118586723895155,0.012217564979366435
332,-0.06141103927017184,0.23280236171398525
333,-1.167791572692792,0.24396925396445263
334,-0.9825680956206323,-0.30179417278228515
335,-1.2297956939393684,-0.2969302762132742
336,-1.5468174328243536,-0.6790923075582648
337,-1.7398973711259318,-0.8693863541034808
338,-1.6888058939666584,-1.1369507848592975
339,-1.7243475932712484,-1.7680244545612822
340,-1.4171298245222486,-1.8692263327179905
341,-0.4924477335001765,-1.875357390182681
342,-1.5799614413927652,-1.913773796427037
343,-1.8528892842237947,-1.6274616513639004
344,-1.5701466307687206,-2.151422339317134
345,-1.3183138005183574,-2.114640608296228
346,-0.8579957028847093,-1.839256032582882
347,-0.8560338310443549,-2.035028782949397
348,-0.8385231382044979,-1.659599802968828
349,-0.5562801982866712,-1.6793843705465703
350,0.05698684962284482,-1.3381785340274654
351,0.3710308736123908,-1.1419981651453632
352,0.11015864748175992,-0.6132466223597438
353,0.4771926949220903,-0.4586285426660317
354,0.615958489517645,-0.01006875220605262
355,0.12956463781228783,0.2141713086401822
356,0.5534472043031752,0.27391629199575346
357,0.8658492066724306,0.5726863769807629
358,0.23470686163222246,0.5050506873601059
359,0.7173675909253413,0.4660506442345333
360,0.4757403579219803,0.6555738492235804
361,1.4415600827680857,0.5561579217633621
362,0.7068742765866359,1.0149961399368734
363,0.5840113031249895,0.9323898317432102
364,0.40201216991566496,1.0769443161114227
365,-0.19530414464929127,0.9396469874307097
366,-0.4476521607988947,0.5802850033383993
367,-0.28528898046886375,0.38815253179948594
368,-0.4446780007083854,0.1647510982675258
369,-0.2492356240222619,-0.06333256117512805
370,-0.5048451897412197,-0.2957644547679333
371,-0.2579057903711799,-0.5153937727940291
372,-0.09315156063300571,-0.3618478050258664
373,-0.6193904048103279,-0.2625244160502221
374,-1.936420560666139,-0.32334733260521953
375,-1.4567617418428636,-0.8291178867291458
376,-1.7891256834273221,-1.0675526109375015
377,-3.960287402518987,-1.4720685938673208
378,-2.882722303316394,-2.0555778348891285
379,-2.622067706877982,-2.7554423954663907
380,-1.8780275562943625,-3.0776964909268107
381,-1.1373921651497045,-3.238421901741148
382,0.7016555796095448,-2.827672712853615
383,0.7970765265797393,-2.2674839196405294
384,1.1988784964266703,-1.4490019884703726
385,1.7490417968794627,-0.806403430154904
386,2.433072275497369,0.1302140154260965
387,2.048059566268755,0.8593843323312148
388,1.863905829138698,1.232766425760712
389,2.011774426647929,2.0446913956394868
390,0.9884201905457749,2.2655170547661867
391,1.1656610787086525,2.364313483055149
392,1.80896027446055,2.246412200453382
393,1.6356266155615122,2.027808571994957
394,1.911556900785758,2.118282342237294
395,1.1987696640017282,2.370445622041404
396,1.5030251574353597,2.359453498082929
397,0.4330970293465385,2.1112064308718623
398,0.20231541732730318,1.6989303260377677
399,0.7841053780529087,1.6185496065972598
400,0.29918046855324365,1.2508939012374571
401,0.5631200833781123,1.0948543480954749
402,-0.07739507604780456,0.8530410977022063
403,-0.01990269812697501,0.7776243133540902
404,0.048378445509208744,0.5690133192277965
405,-0.11891605635702208,0.31221457944039216
406,-0.5563735995799328,0.3547448826777404
407,-0.6783180413073776,0.039706874822798575
408,-1.1225012591985213,-0.35443595785375925
409,-1.422007924939661,-0.6986933327722789
410,-1.8303159563186697,-0.7445195119172276
411,-1.715583079011294,-1.3740745174915883
412,-0.8455781020384918,-1.5366530464925547
413,0.5588875230078124,-1.6695401949347923
414,0.7610901756116215,-1.1038353585494292
415,0.8747902553686255,-0.9219362398188781
416,0.30002977553579924,-0.1776005838747804
417,-0.10985306201138707,0.317902774994669
418,0.3388933814645033,0.003642067595975851
419,0.8967630178201689,0.4445823833893192
420,0.34284733932664696,0.5689866774191126
