record_id,event_present,t0_sample,amplitude_A
0,0,-1,0.0
1,1,64,2.431426388995651
2,1,32,3.010014698078159
3,0,-1,0.0
4,1,126,1.6715816008006081
5,1,169,2.953662647964324
6,1,75,1.708650091973237
7,1,128,3.047354763996796
8,1,40,3.0665481712734857
9,1,111,2.998352614645146
10,0,-1,0.0
11,1,47,3.2631109524505746
12,1,29,3.364562716918376
13,0,-1,0.0
14,1,97,2.486681811317726
15,0,-1,0.0
16,1,98,3.1423887516378133
17,1,112,1.548254592818394
18,1,120,3.226056860295946
19,1,46,1.045650996305484
20,0,-1,0.0
21,0,-1,0.0
22,1,144,1.5506939999685292
23,0,-1,0.0
24,0,-1,0.0
25,1,57,2.606331320730714
26,1,29,3.7831374166817113
27,1,51,1.9946485140973547
28,0,-1,0.0
29,0,-1,0.0
30,0,-1,0.0
31,1,155,2.1446907964671595
32,0,-1,0.0
33,0,-1,0.0
34,1,156,1.7765875089704597
35,0,-1,0.0
36,0,-1,0.0
37,1,123,1.427163558683415
38,1,78,1.2419699207478057
39,1,172,1.0239324305823094
40,1,59,3.1851932873034974
41,0,-1,0.0
42,1,71,1.2788681101252184
43,0,-1,0.0
44,0,-1,0.0
45,0,-1,0.0
46,0,-1,0.0
47,0,-1,0.0
48,1,97,3.7939664502076003
49,0,-1,0.0
50,1,119,3.7983349640378994
51,0,-1,0.0
52,0,-1,0.0
53,1,132,1.7837268355559368
54,0,-1,0.0
55,0,-1,0.0
56,1,89,1.6609648766242011
57,1,166,3.052877767271846
58,0,-1,0.0
59,0,-1,0.0
60,1,45,2.191357862306807
61,1,37,1.7688339684226841
62,0,-1,0.0
63,0,-1,0.0
64,1,103,3.3406267097124434
65,1,46,2.1692727757908825
66,0,-1,0.0
67,1,49,1.7502155858692048
68,1,62,2.1475438589361637
69,1,26,3.729423897087813
70,1,85,2.5472428640580915
71,0,-1,0.0
72,1,62,1.398903833099723
73,1,96,1.1331211554905718
74,0,-1,0.0
75,1,50,1.6674046863529928
76,1,126,1.3517818491438327
77,0,-1,0.0
78,1,43,1.648140923700892
79,0,-1,0.0
80,0,-1,0.0
81,0,-1,0.0
82,1,124,3.622541297395474
83,1,75,3.6630373401051446
84,1,114,3.1660038573000704
85,1,67,1.4236316883450548
86,1,39,3.084554267753501
87,1,120,2.1874469243483476
88,1,158,2.3916749241051223
89,0,-1,0.0
90,1,136,1.0219526828118812
91,1,32,1.9571334204085455
92,0,-1,0.0
93,0,-1,0.0
94,1,37,2.2650303167622323
95,1,80,2.2262891963830134
96,0,-1,0.0
97,0,-1,0.0
98,1,58,1.0133834862595603
99,0,-1,0.0
100,1,127,2.827188572750935
101,1,150,2.246637843198149
102,1,170,3.5370233930012698
103,1,144,3.368248753846807
104,0,-1,0.0
105,1,52,3.725143513963046
106,1,154,1.6391652702160369
107,0,-1,0.0
108,1,170,1.0621678448563863
109,1,65,3.003222960765079
110,0,-1,0.0
111,0,-1,0.0
112,1,174,1.1969851213486518
113,1,147,1.2845279285311395
114,1,113,3.740822679255485
115,1,91,2.5170605442912173
116,0,-1,0.0
117,0,-1,0.0
118,1,79,1.5480049419070219
119,1,108,2.608973736027326
120,1,40,3.586969755081223
121,0,-1,0.0
122,1,152,2.855843684327609
123,0,-1,0.0
124,1,125,3.091726671608107
125,1,80,1.4486067656958828
126,0,-1,0.0
127,1,170,1.2659834917967312
128,0,-1,0.0
129,1,114,3.171775589464934
130,1,153,1.065980725250867
131,1,119,1.4285858548245842
132,1,140,2.275692980303063
133,1,133,1.759986739182947
134,1,98,3.7865351097505955
135,1,67,2.8545674320683188
136,1,112,1.7266974321829238
137,1,45,1.0123473029294539
138,1,73,1.9344388411513873
139,1,172,3.1191360584073866
140,1,124,1.7907361530774863
141,1,138,1.5841368735827577
142,1,74,1.9276315798052859
143,1,123,1.0963421554829806
144,1,167,1.1099737305031232
145,0,-1,0.0
146,0,-1,0.0
147,0,-1,0.0
148,1,33,2.4191499647120844
149,1,62,3.382667031693547
