record_id,n,t_s,y
0,0,0.0,0.49954835179448037
0,1,0.001,0.2134957426923457
0,2,0.002,0.11545915950710221
0,3,0.003,-0.21611494339620954
0,4,0.004,-0.43473737359222264
0,5,0.005,0.057683257757530956
0,6,0.006,-0.027025573746914867
0,7,0.007,0.03536759504942201
0,8,0.008,0.012526568884394206
0,9,0.009,-0.5872758194912475
0,10,0.01,-0.3520207354318044
0,11,0.011,-0.4513477415668583
0,12,0.012,-0.27396789985247905
0,13,0.013,0.3535851019051763
0,14,0.014,0.2465235572858944
0,15,0.015,0.08057756137664737
0,16,0.016,0.6227815789724368
0,17,0.017,0.7540412507473168
0,18,0.018,-0.2911945942349282
0,19,0.019,0.35970228729384945
0,20,0.02,-0.23380151535061222
0,21,0.021,0.26139207659881686
0,22,0.022,-0.5122190864731917
0,23,0.023,0.31582272486960544
0,24,0.024,-0.3424120373045174
0,25,0.025,-0.06147247308504441
0,26,0.026,0.38608877576468464
0,27,0.027,-1.1661022687129123
0,28,0.028,-0.7509067207125394
0,29,0.029,-0.986158925377496
0,30,0.03,-0.5845670207261945
0,31,0.031,-1.0493239718689453
0,32,0.032,-0.3676922749755429
0,33,0.033,-0.06385958904846521
0,34,0.034,0.5801538871430262
0,35,0.035,1.1483156666302392
0,36,0.036,0.2490004153065728
0,37,0.037,0.569243867938851
0,38,0.038,-0.39479274251935154
0,39,0.039,0.1726242746362183
0,40,0.04,0.08840966068571794
0,41,0.041,0.3662629952724529
0,42,0.042,0.7742703219037727
0,43,0.043,-0.5752998746745628
0,44,0.044,0.49065941912210026
0,45,0.045,0.3264042915747388
0,46,0.046,-0.27780792332538196
0,47,0.047,0.30405528936928616
0,48,0.048,0.8018155103287227
0,49,0.049,0.8072816615832885
0,50,0.05,-0.18928914303992334
0,51,0.051,-0.1411845879766614
0,52,0.052,-0.07566322545004768
0,53,0.053,0.35516326132237075
0,54,0.054,-0.37095715862726875
0,55,0.055,-0.31362582352442964
0,56,0.056,-0.5604898549060559
0,57,0.057,-0.7249221657204915
0,58,0.058,-0.3135098143910431
0,59,0.059,-0.6740398469471657
0,60,0.06,0.16173259700861048
0,61,0.061,-0.39567035694315394
0,62,0.062,-0.07296789188555236
0,63,0.063,-0.6281308348648894
0,64,0.064,-1.0163893420636052
0,65,0.065,0.02939027203747903
0,66,0.066,-0.37980600072944715
0,67,0.067,-0.6130586724422259
0,68,0.068,-0.4271675675566319
0,69,0.069,0.6858360070238686
0,70,0.07,0.01874755234300198
0,71,0.071,-0.7041885211705824
0,72,0.072,-0.25141788843851987
0,73,0.073,0.25718153230900664
0,74,0.074,0.015823417569675598
0,75,0.075,-0.1443304012103517
0,76,0.076,-0.039193559674592496
0,77,0.077,0.5369484932181521
0,78,0.078,-0.0966489243028998
0,79,0.079,0.20015478201628903
0,80,0.08,0.30024233110601434
0,81,0.081,0.30941991019431514
0,82,0.082,0.5038455508758299
0,83,0.083,0.46739719819300846
0,84,0.084,-0.2909996058471229
0,85,0.085,0.2811772725892956
0,86,0.086,0.4113537959952345
0,87,0.087,0.8534783595739163
0,88,0.088,0.07641798774183181
0,89,0.089,0.6921052765387233
0,90,0.09,0.8751117156836695
0,91,0.091,-0.14169557129873084
0,92,0.092,0.2999162416109172
0,93,0.093,0.5240428193298898
0,94,0.094,0.13042618224036462
0,95,0.095,-0.5747328960881076
0,96,0.096,-0.8302648475161546
0,97,0.097,-0.23710820825034673
0,98,0.098,-0.44299445883700406
0,99,0.099,-0.1539241071928936
0,100,0.1,-0.5480032956786034
0,101,0.101,0.8685750759935258
0,102,0.102,1.3025739337599813
0,103,0.103,-0.5608189175671296
0,104,0.104,0.1265472690638657
0,105,0.105,0.13620439759837694
0,106,0.106,0.5138689265655283
0,107,0.107,0.5348925952634995
0,108,0.108,0.9164689109993115
0,109,0.109,1.1351541418608526
0,110,0.11,-0.10939983018581347
0,111,0.111,-0.5913554304594507
0,112,0.112,-0.7120933512590616
0,113,0.113,-0.7110763174133721
0,114,0.114,-0.14370023981613392
0,115,0.115,0.2749508397366241
0,116,0.116,-0.23739770282902026
0,117,0.117,0.4598044767242856
0,118,0.118,-0.46568607158669206
0,119,0.119,0.28472311277948326
0,120,0.12,-0.24850480554804916
