n,t_s,s
0,0.0,0.0
1,0.001,0.25614195581599986
2,0.002,0.34688412187082546
3,0.003,0.3644699680136183
4,0.004,0.3509806466847764
5,0.005,0.32548277154712685
6,0.006,0.2964975138713423
7,0.007,0.26772627965336915
8,0.008,0.24067859576676173
9,0.009,0.21587706833846068
10,0.01,0.19340885957800763
11,0.011,0.1731771604255045
12,0.012,0.15501503229020253
13,0.013,0.13873619545234459
14,0.014,0.12415700828743287
15,0.015,0.1111053532272655
16,0.016,0.09942363477797828
17,0.017,0.08896918650357591
18,0.018,0.07961358966747681
19,0.019,0.07124158317657693
20,0.02,0.06374986747132932
21,0.021,0.05704593281116669
22,0.022,0.051046964197783345
23,0.023,0.04567884005717328
24,0.024,0.04087522638911681
25,0.025,0.036576761659529056
26,0.026,0.03273032533486019
27,0.027,0.029288382384506
28,0.028,0.026208396277770555
29,0.029,0.023452303509230703
30,0.03,0.02098604329091792
31,0.031,0.018779136659915787
32,0.032,0.016804309827775567
33,0.033,0.015037157129799023
34,0.034,0.013455839414686057
35,0.035,0.01204081414984062
36,0.036,0.010774593908117674
37,0.037,0.009641530251869401
38,0.038,0.008627620343709256
39,0.039,0.007720333894135935
40,0.04,0.006908458307424593
41,0.041,0.006181960112064274
42,0.042,0.005531860963256902
43,0.043,0.004950126685074554
44,0.044,0.004429567981017458
45,0.045,0.003963751585916823
46,0.046,0.0
47,0.047,0.0
48,0.048,0.0
49,0.049,0.0
50,0.05,0.0
51,0.051,0.0
52,0.052,0.0
53,0.053,0.0
54,0.054,0.0
55,0.055,0.0
56,0.056,0.0
57,0.057,0.0
58,0.058,0.0
59,0.059,0.0
60,0.06,0.0
61,0.061,0.0
62,0.062,0.0
63,0.063,0.0
